"INTERPRO2GO","SUBERR793599","SUBERR793600","SUBERR793601","SUBERR793603","SUBERR793604","SUBERR793605","SUBERR793606","SUBERR793607","SUBERR793608"
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR006361 Uroporphyrinogen decarboxylase HemE;",2,1,NA,1,5,3,2,NA,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR006840 Glutathione-specific gamma-glutamylcyclotransferase;",1,NA,NA,NA,1,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR007247 Ureidoglycolate lyase;",1,NA,NA,1,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR007782 Vitamin K-dependent gamma-carboxylase;",1,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR008242 Bifunctional P-protein, chorismate mutase/prephenate dehydratase;",1,NA,NA,3,1,1,NA,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR009246 Ethanolamine ammonia-lyase light chain;",2,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR010197 o-Succinylbenzoate synthase, MenC type 2;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR010451 Acetoacetate decarboxylase;",7,NA,1,NA,69,8,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR011289 Fructose-1,6-bisphosphate aldolase, class 2;",1,NA,NA,NA,NA,NA,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR011780 D-serine ammonia-lyase;",1,NA,NA,NA,NA,1,NA,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR012480 Heparinase II/III-like;",1,NA,NA,NA,4,NA,2,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR014046 Diadenylate cyclase;IPR034701 Diadenylate cyclase CdaA;",1,1,NA,NA,NA,1,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR023026 Tryptophan synthase beta chain/beta chain-like;",2,NA,NA,1,3,2,3,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016829 lyase activity;IPR032465 2-amino-3-carboxymuconate-6-semialdehyde decarboxylase;",1,1,2,1,3,2,3,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR000380 DNA topoisomerase, type IA;IPR005738 DNA topoisomerase III;",1,1,1,2,1,1,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR000380 DNA topoisomerase, type IA;IPR028612 DNA topoisomerase I, type IA;",4,2,1,3,1,3,2,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR000748 Pseudouridine synthase, RsuA/RluB/E/F;",1,1,NA,1,2,3,3,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR000888 dTDP-4-dehydrorhamnose 3,5-epimerase-related;",1,NA,NA,1,NA,2,2,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR001241 DNA topoisomerase, type IIA;IPR000565 DNA topoisomerase, type IIA, subunit B;IPR011557 DNA gyrase, subunit B;",1,NA,1,3,1,1,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR001241 DNA topoisomerase, type IIA;IPR005737 DNA topoisomerase IV, subunit B, Gram-negative;",2,NA,NA,1,1,1,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR002587 Myo-inositol-1-phosphate synthase;IPR017815 Myo-inositol 1-phosphate synthase, actinobacteria;",1,NA,NA,NA,NA,1,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR003491 Replication initiation factor;",1,NA,NA,1,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR003500 Sugar-phosphate isomerase, RpiB/LacA/LacB family;IPR004785 Ribose 5-phosphate isomerase B;",1,1,NA,NA,NA,1,NA,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR004561 Isochorismate synthase;",2,NA,NA,NA,1,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR004800 Phosphosugar isomerase, KdsD/KpsF-type;",1,2,NA,NA,1,1,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR005742 DNA topoisomerase IV, subunit A, Gram-negative;",1,1,NA,1,1,NA,NA,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR005792 Protein disulphide isomerase;",1,10,5,6,4,2,2,2,4
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR005841 Alpha-D-phosphohexomutase superfamily;",1,3,NA,1,4,3,2,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR005841 Alpha-D-phosphohexomutase superfamily;IPR006352 Phosphoglucosamine mutase, bacterial type;",2,NA,2,NA,1,2,4,3,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR008183 Aldose 1-/Glucose-6-phosphate 1-epimerase;",2,NA,NA,1,NA,1,4,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR008183 Aldose 1-/Glucose-6-phosphate 1-epimerase;IPR015443 Aldose 1-epimerase;",1,NA,NA,NA,1,1,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR008183 Aldose 1-/Glucose-6-phosphate 1-epimerase;IPR025532 Glucose-6-phosphate 1-epimerase;",1,NA,2,NA,NA,3,NA,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR008242 Bifunctional P-protein, chorismate mutase/prephenate dehydratase;",1,NA,NA,3,1,1,NA,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR008244 Bifunctional chorismate mutase/prephenate dehydrogenase T-protein;",1,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR011179 Isopentenyl-diphosphate delta-isomerase, FMN-dependent;",2,1,NA,NA,NA,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR015942 Asp/Glu/hydantoin racemase;",3,1,3,1,2,2,5,3,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR015942 Asp/Glu/hydantoin racemase;IPR026286 Maleate isomerase/Arylmalonate decarboxylase;",1,NA,NA,1,NA,1,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR021120 KduI/IolB isomerase;IPR024203 5-deoxy-glucuronate isomerase, IolB;",1,NA,NA,NA,1,NA,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016853 isomerase activity;IPR024936 Cyclophilin-type peptidyl-prolyl cis-trans isomerase;",2,NA,3,3,NA,NA,3,5,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR000438 Acetyl-CoA carboxylase carboxyl transferase, beta subunit;",4,1,1,2,5,4,7,2,4
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR000559 Formate-tetrahydrofolate ligase, FTHFS;",1,1,2,NA,NA,NA,2,NA,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR000924 Glutamyl/glutaminyl-tRNA synthetase;IPR004527 Glutamate-tRNA ligase, bacterial/mitochondrial;",2,NA,1,4,2,2,2,1,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR000977 DNA ligase, ATP-dependent;",1,NA,NA,1,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR001278 Arginine-tRNA ligase;",1,NA,NA,1,NA,NA,1,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR002301 Isoleucine-tRNA ligase;IPR023585 Isoleucine-tRNA ligase, type 1;",1,NA,1,2,2,NA,NA,3,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR002302 Leucine-tRNA ligase;",1,3,1,NA,6,3,3,5,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR002303 Valine-tRNA ligase;",1,NA,NA,2,2,1,6,4,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR002305 Aminoacyl-tRNA synthetase, class Ic;IPR002306 Tryptophan-tRNA ligase;",3,1,NA,NA,NA,NA,1,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR002305 Aminoacyl-tRNA synthetase, class Ic;IPR002307 Tyrosine-tRNA ligase;IPR024088 Tyrosine-tRNA ligase, bacterial-type;IPR024107 Tyrosine-tRNA ligase, bacterial-type, type 1;",1,NA,NA,2,4,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR002305 Aminoacyl-tRNA synthetase, class Ic;IPR002307 Tyrosine-tRNA ligase;IPR024088 Tyrosine-tRNA ligase, bacterial-type;IPR024108 Tyrosine-tRNA ligase, bacterial-type, type 2;",2,NA,NA,1,2,1,NA,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR002312 Aspartyl/Asparaginyl-tRNA synthetase, class IIb;IPR004524 Aspartate-tRNA ligase, type 1;",1,NA,NA,NA,2,1,4,3,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR002313 Lysine-tRNA ligase, class II;",1,NA,NA,NA,2,1,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR002316 Proline-tRNA ligase, class IIa;IPR004499 Proline-tRNA ligase, class IIa, archaeal-type;",1,NA,1,3,1,NA,NA,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR002316 Proline-tRNA ligase, class IIa;IPR004500 Prolyl-tRNA synthetase, class IIa, bacterial-type;IPR023716 Proline-tRNA ligase, class IIa, type 2;",1,1,NA,2,NA,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR002316 Proline-tRNA ligase, class IIa;IPR004500 Prolyl-tRNA synthetase, class IIa, bacterial-type;IPR023717 Prolyl-tRNA synthetase, class IIa, type 1;",2,NA,NA,NA,1,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR002317 Serine-tRNA ligase, type1;",1,2,NA,2,1,1,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR004175 RNA 2',3'-cyclic phosphodiesterase;",1,1,1,NA,NA,1,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR004408 Biotin--acetyl-CoA-carboxylase ligase;",3,NA,NA,NA,1,NA,5,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR004468 CTP synthase;",1,1,2,NA,6,1,NA,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR004549 Acetyl-CoA carboxylase, biotin carboxylase;",1,1,NA,NA,5,NA,NA,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR004809 Glutamine synthetase type I;",1,1,NA,2,3,3,4,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR005762 UDP-N-acetylmuramoylalanine-D-glutamate ligase;",2,NA,1,1,NA,NA,2,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR005914 Acetoacetyl-CoA synthase;",1,NA,NA,NA,NA,NA,4,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR006194 Glycine-tRNA synthetase, heterodimeric;",1,1,1,1,1,1,1,2,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR006194 Glycine-tRNA synthetase, heterodimeric;IPR015944 Glycine-tRNA ligase, beta subunit;",3,NA,NA,7,NA,3,2,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR006274 Carbamoyl-phosphate synthase, small subunit;",8,NA,31,2,4,12,2,47,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR006334 Glutamate--cysteine ligase, monofunctional;",1,NA,NA,1,NA,NA,1,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR006336 Glutamate--cysteine ligase, GCS2;IPR011793 Putative glutamate--cysteine ligase YbdK;",1,NA,1,NA,2,NA,1,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR006426 Asparagine synthase, glutamine-hydrolyzing;",1,NA,1,2,1,1,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR012094 tRNA(Ile)-lysidine synthase;",2,NA,2,2,3,3,2,2,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016874 ligase activity;IPR014758 Methionyl-tRNA synthetase;IPR023457 Methionine-tRNA synthetase, type 2;",1,1,NA,1,2,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;IPR000581 Dihydroxy-acid/6-phosphogluconate dehydratase;",1,NA,2,4,NA,5,1,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;IPR000581 Dihydroxy-acid/6-phosphogluconate dehydratase;IPR004404 Dihydroxy-acid dehydratase;",4,NA,NA,NA,2,NA,4,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;IPR000639 Epoxide hydrolase-like;",3,7,6,7,9,2,10,9,10
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;IPR000639 Epoxide hydrolase-like;IPR016292 Epoxide hydrolase;",3,1,NA,1,2,NA,NA,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;IPR001544 Aminotransferase class IV;",1,1,1,1,2,2,4,4,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;IPR001544 Aminotransferase class IV;IPR017824 Aminodeoxychorismate lyase, class IV;",1,NA,NA,1,1,1,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;IPR001753 Enoyl-CoA hydratase/isomerase;",6,2,4,11,16,10,15,13,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;IPR006046 Alpha amylase;",1,NA,1,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;IPR007439 Chemotaxis phosphatase, CheZ;",1,NA,NA,NA,1,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;IPR023546 Methylated-DNA--protein-cysteine methyltransferase;",2,NA,1,NA,NA,NA,NA,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0004601 peroxidase activity;IPR000763 Catalase-peroxidase haem;",1,NA,NA,4,1,1,NA,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0004601 peroxidase activity;IPR000823 Plant peroxidase;",3,5,7,7,2,3,2,6,4
"InterPro2GO;GO:0003674 molecular_function;GO:0004601 peroxidase activity;IPR000889 Glutathione peroxidase;",1,NA,1,NA,3,1,2,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0004601 peroxidase activity;IPR018028 Catalase, mono-functional, haem-containing;IPR024711 Catalase, mono-functional, haem-containing, clades 1 and 3;",1,NA,NA,1,NA,NA,1,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0004601 peroxidase activity;IPR018028 Catalase, mono-functional, haem-containing;IPR024712 Catalase, mono-functional, haem-containing, clade 2;",1,NA,2,NA,1,NA,2,2,2
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;GO:0042910 xenobiotic transmembrane transporter activity;IPR002528 Multi antimicrobial extrusion protein;",6,2,1,7,5,2,3,6,2
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR000015 Outer membrane usher protein;",1,1,NA,1,2,4,1,3,1
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR000109 Proton-dependent oligopeptide transporter family;IPR005279 Dipeptide/tripeptide permease;",1,NA,NA,NA,3,1,2,2,2
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR000131 ATP synthase, F1 complex, gamma subunit;",1,NA,2,1,3,1,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR000245 V-ATPase proteolipid subunit;IPR011555 V-ATPase proteolipid subunit C, eukaryotic;",1,NA,1,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR000425 Major intrinsic protein;",2,NA,1,NA,NA,NA,NA,3,2
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR000425 Major intrinsic protein;IPR034294 Aquaporin transporter;",2,1,NA,3,1,2,1,3,2
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR000454 ATP synthase, F0 complex, subunit C;IPR005953 ATP synthase, F0 complex, subunit C, bacterial/chloroplast;",1,1,NA,NA,NA,2,NA,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR000522 ABC transporter, permease protein, BtuC-like;",1,NA,2,4,7,4,6,6,1
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR000568 ATP synthase, F0 complex, subunit A;",4,17,14,21,15,14,13,12,17
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR000711 ATPase, OSCP/delta subunit;",2,1,1,NA,1,1,1,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR000802 Arsenical pump membrane protein,  ArsB;",1,NA,NA,1,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR000883 Cytochrome c oxidase subunit I;",118,170,115,82,103,173,123,113,80
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR000883 Cytochrome c oxidase subunit I;IPR014241 Cytochrome c oxidase, subunit I bacterial type;",1,2,1,3,3,3,NA,3,1
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR001036 Acriflavin resistance protein;",8,8,412,13,15,7,22,509,7
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR001036 Acriflavin resistance protein;IPR004764 Hydrophobe/amphiphile efflux-1 HAE1;",2,2,1,3,6,3,7,4,1
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR001248 Purine-cytosine permease;IPR026030 Purine-cytosine permease Fcy2/21/22;",1,1,1,NA,NA,1,NA,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR001248 Purine-cytosine permease;IPR030191 Cytosine permease;",1,NA,1,1,1,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR001421 ATP synthase protein 8, metazoa;",4,2,2,1,2,5,NA,NA,3
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR001469 ATP synthase, F1 complex, delta/epsilon subunit;",2,NA,1,2,1,NA,3,1,2
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR001508 Ionotropic glutamate receptor, metazoa;",1,NA,NA,1,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR001702 Porin, Gram-negative type;IPR002299 Porin, Neisseria sp. type;",2,1,3,1,1,2,2,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR001734 Sodium/solute symporter;",3,3,3,8,7,4,5,6,3
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR001851 ABC transporter, permease;",14,16,11,13,14,8,20,22,9
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR001851 ABC transporter, permease;IPR017778 ABC transporter, urea, permease protein, UrtC;",1,1,NA,1,1,1,NA,3,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR001851 ABC transporter, permease;IPR017779 ABC transporter, urea permease protein UrtB, bacterial-type;",1,NA,NA,1,NA,1,2,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR001902 SLC26A/SulP transporter;",1,1,1,1,2,1,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR001905 Ammonium transporter;",5,8,5,3,7,4,5,1,4
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;IPR001991 Sodium:dicarboxylate symporter;IPR033380 Glutamate-aspartate symport protein GltP/GltT;",2,NA,NA,2,1,4,2,3,1
